100
353.0,744.03
615.7,1264.53
181.3,374.36
464.1,981.71
120.7,306.76
252.0,583.35
1009.6,2039.92
80.3,241.07
534.8,1126.57
191.4,398.33
848.0,1706.21
171.2,397.26
646.0,1361.43
312.6,652.23
393.4,853.32
949.0,1958.25
443.9,941.82
656.1,1352.54
898.5,1830.80
686.4,1398.80
504.5,1044.69
787.4,1656.04
696.5,1459.18
454.0,972.85
767.2,1615.10
544.9,1104.64
888.4,1816.40
474.2,996.17
140.9,342.67
342.9,730.02
272.2,595.80
1029.8,2114.82
292.4,623.96
322.7,702.97
706.6,1490.26
807.6,1681.59
221.7,499.72
777.3,1603.83
110.6,302.80
736.9,1530.97
514.6,1070.08
494.4,1009.32
716.7,1481.89
302.5,657.27
797.5,1592.55
403.5,832.65
241.9,505.59
868.2,1793.51
332.8,703.64
817.7,1687.09
918.7,1905.68
1050.0,2145.31
373.2,796.19
201.5,441.78
524.7,1120.64
151.0,342.75
262.1,569.73
100.5,246.33
383.3,795.51
908.6,1857.14
90.4,226.13
989.4,2022.23
423.7,858.28
676.3,1380.40
211.6,452.98
858.1,1761.77
595.5,1261.53
726.8,1523.61
757.1,1571.37
747.0,1531.04
959.1,1970.12
999.5,2041.15
575.3,1186.97
827.8,1699.58
231.8,495.48
50.0,159.93
585.4,1232.94
979.3,1994.54
878.3,1836.12
969.2,2007.76
605.6,1279.74
70.2,203.36
60.1,167.44
433.8,891.11
161.1,362.91
938.9,1917.18
625.8,1295.33
1039.9,2129.90
565.2,1172.60
928.8,1914.15
363.1,813.31
635.9,1328.34
837.9,1727.59
282.3,586.15
484.3,1012.66
555.1,1166.58
1019.7,2095.32
413.6,881.45
666.2,1378.61
130.8,302.23
